label,region,R,G,B,A
264,Right-Eustachian,0.46484375,0.62109375,0.6875,1
265,Left-Eyeball,0.234375,0.234375,0.234375,1
266,Right-Eyeball,0.234375,0.234375,0.234375,1
331,Aorta,0.99609375,0.0,0.0,1
332,Left-Common-IliacA,0.99609375,0.3125,0.0,1
333,Right-Common-IliacA,0.99609375,0.625,0.0,1
334,Left-External-IliacA,0.99609375,0.99609375,0.0,1
335,Right-External-IliacA,0.0,0.99609375,0.0,1
336,Left-Internal-IliacA,0.99609375,0.0,0.625,1
337,Right-Internal-IliacA,0.99609375,0.0,0.99609375,1
338,Left-Lateral-SacralA,0.99609375,0.1953125,0.3125,1
339,Right-Lateral-SacralA,0.3125,0.99609375,0.1953125,1
340,Left-ObturatorA,0.625,0.99609375,0.1953125,1
341,Right-ObturatorA,0.625,0.78125,0.99609375,1
342,Left-Internal-PudendalA,0.0,0.99609375,0.625,1
343,Right-Internal-PudendalA,0.0,0.0,0.99609375,1
344,Left-UmbilicalA,0.3125,0.1953125,0.99609375,1
345,Right-UmbilicalA,0.625,0.0,0.99609375,1
346,Left-Inf-RectalA,0.99609375,0.8203125,0.0,1
347,Right-Inf-RectalA,0.0,0.625,0.99609375,1
348,Left-Common-IliacV,0.99609375,0.78125,0.3125,1
349,Right-Common-IliacV,0.99609375,0.78125,0.625,1
350,Left-External-IliacV,0.99609375,0.3125,0.78125,1
351,Right-External-IliacV,0.99609375,0.625,0.78125,1
352,Left-Internal-IliacV,0.1171875,0.99609375,0.3125,1
353,Right-Internal-IliacV,0.3125,0.78125,0.99609375,1
354,Left-ObturatorV,0.3125,0.99609375,0.78125,1
355,Right-ObturatorV,0.76171875,0.99609375,0.78125,1
356,Left-Internal-PudendalV,0.46875,0.78125,0.078125,1
357,Right-Internal-PudendalV,0.6640625,0.0390625,0.78125,1
358,Pos-Lymph,0.078125,0.5078125,0.703125,1
359,Neg-Lymph,0.078125,0.703125,0.5078125,1
400,V1,0.8046875,0.2421875,0.3046875,1
401,V2,0.47265625,0.0703125,0.5234375,1
402,BA44,0.77734375,0.2265625,0.9765625,1
403,BA45,0.00390625,0.578125,0.0,1
404,BA4a,0.86328125,0.96875,0.640625,1
405,BA4p,0.90234375,0.578125,0.1328125,1
406,BA6,0.00390625,0.4609375,0.0546875,1
407,BA2,0.46875,0.4609375,0.0546875,1
408,BA1_old,0.48046875,0.7265625,0.86328125,1
409,BAun2,0.9296875,0.05078125,0.69140625,1
410,BA1,0.48046875,0.7265625,0.859375,1
411,BA2b,0.5390625,0.05078125,0.8046875,1
412,BA3a,0.9296875,0.5078125,0.6875,1
413,BA3b,0.8515625,0.8984375,0.296875,1
414,MT,0.1484375,0.83203125,0.6875,1
415,AIPS_AIP_l,0.00390625,0.87890625,0.6875,1
416,AIPS_AIP_r,0.00390625,0.87890625,0.6875,1
417,AIPS_VIP_l,0.78125,0.0078125,0.390625,1
418,AIPS_VIP_r,0.78125,0.0078125,0.390625,1
419,IPL_PFcm_l,0.01953125,0.78125,0.3515625,1
420,IPL_PFcm_r,0.01953125,0.78125,0.3515625,1
421,IPL_PF_l,0.390625,0.01953125,0.78125,1
422,IPL_PFm_l,0.09765625,0.99609375,0.390625,1
423,IPL_PFm_r,0.09765625,0.99609375,0.390625,1
424,IPL_PFop_l,0.8984375,0.02734375,0.390625,1
425,IPL_PFop_r,0.8984375,0.02734375,0.390625,1
426,IPL_PF_r,0.390625,0.01953125,0.78125,1
427,IPL_PFt_l,0.5859375,0.0390625,0.78125,1
428,IPL_PFt_r,0.5859375,0.0390625,0.78125,1
429,IPL_PGa_l,0.68359375,0.0390625,0.6875,1
430,IPL_PGa_r,0.68359375,0.0390625,0.6875,1
431,IPL_PGp_l,0.0390625,0.390625,0.99609375,1
432,IPL_PGp_r,0.0390625,0.390625,0.99609375,1
433,Visual_V3d_l,0.5859375,0.17578125,0.2734375,1
434,Visual_V3d_r,0.5859375,0.17578125,0.2734375,1
435,Visual_V4_l,0.17578125,0.78125,0.05859375,1
436,Visual_V4_r,0.17578125,0.78125,0.05859375,1
437,Visual_V5_b,0.88671875,0.17578125,0.390625,1
438,Visual_VP_l,0.88671875,0.17578125,0.390625,1
439,Visual_VP_r,0.88671875,0.17578125,0.390625,1
498,wmsa,0.55859375,0.734375,0.55859375,1
